우장산동,"66,017","140,426",362,38,"65,493","135,718",352,49,"67,858","137,554",352,49
공항동,"4,760","12,095",28,39,"4,302","11,289",27,30,"4,267","11,195",27,30
방화1동,"58,137","130,987",321,76,"58,656","131,316",321,67,"57,075","125,587",321,67
방화2동,"8,973","22,082",43,7,"9,145","22,022",43,6,"7,844","18,472",43,6
방화3동,"15,316","42,854",126,17,"15,447","43,850",124,26,"13,996","38,947",124,26
구로구,"37,317","89,627",200,87,"37,201","88,814",198,70,"36,546","85,971",198,70
신도림동,"42,071","118,156",267,72,"42,779","119,571",281,99,"40,626","114,024",281,99
구로1동,"15,158","65,927",215,25,"16,803","73,214",211,47,"16,325","69,554",211,47
구로2동,"41,560","91,324",144,150,"45,399","91,817",141,77,"45,262","84,685",141,77
구로3동,"77,163","205,224",241,786,"77,160","199,884",235,507,"68,634","178,134",235,507
구로4동,"105,655","169,258",401,48,"94,220","149,258",390,40,"100,336","156,700",390,40
구로5동,"62,162","146,266",284,186,"58,370","131,169",278,134,"58,784","129,552",278,134
가리봉동,"70,699","121,402",235,40,"66,081","116,623",225,23,"76,061","139,941",225,23
고척1동,"41,346","106,684",216,58,"39,815","102,097",218,71,"37,787","95,383",218,71
고척2동,"62,100","93,753",286,21,"60,763","91,717",280,31,"58,707","88,933",280,31
개봉1동,"52,971","103,691",284,27,"54,228","107,539",278,41,"53,189","105,377",278,41
개봉2동,"52,562","153,405",391,18,"50,486","152,511",384,95,"47,743","144,010",384,95
개봉3동,"39,941","96,199",271,60,"36,507","87,097",269,25,"37,981","89,293",269,25
오류1동,"44,657","112,809",313,42,"47,324","119,858",319,61,"43,656","109,936",319,61
오류2동,"13,086","40,959",103,11,"14,717","46,714",99,11,"14,833","46,493",99,11
수궁동,"13,197","38,929",93,16,"12,276","34,921",91,14,"12,276","36,114",91,14
금천구,"31,386","80,826",183,148,"31,894","81,715",184,100,"31,043","79,899",184,100
가산동,"21,039","120,050",90,615,"20,794","119,067",93,376,"23,362","118,826",93,376
독산1동,"22,482","70,436",190,88,"22,935","79,473",211,66,"21,258","75,465",211,66
독산2동,"69,026","118,937",338,29,"59,983","103,963",326,30,"67,352","116,853",326,30
독산3동,"60,763","106,422",263,49,"62,513","107,529",257,43,"62,865","106,228",257,43
독산4동,"62,769","95,999",273,30,"82,150","112,144",265,29,"65,214","92,326",265,29
시흥1동,"42,050","98,675",237,69,"41,291","96,902",239,46,"37,295","88,828",239,46
시흥2동,"11,226","49,176",197,12,"11,948","52,445",193,29,"13,675","64,311",193,29
시흥3동,"16,245","42,724",85,67,"15,558","37,834",85,61,"13,899","33,739",85,61
시흥4동,"47,943","78,292",269,11,"46,191","75,711",263,18,"45,858","73,296",263,18
시흥5동,"21,611","41,020",138,14,"22,135","41,986",135,12,"21,030","39,266",135,12
영등포구,"45,904","94,917",169,228,"44,888","92,553",169,185,"44,698","91,468",169,185
영등포본동,"92,211","124,620",263,38,"81,478","109,631",260,68,"77,831","103,345",260,68
영등포동,"65,605","179,456",180,177,"57,533","150,076",188,104,"61,677","172,579",188,104
여의동,"8,636","44,625",49,432,"8,338","43,158",51,325,"8,060","42,101",51,325
당산1동,"77,515","161,438",279,252,"81,726","166,634",279,122,"69,951","148,665",279,122
당산2동,"47,592","113,211",229,208,"49,749","117,259",232,91,"46,027","104,454",232,91
도림동,"116,575","148,284",345,39,"104,689","132,188",346,30,"99,053","127,231",346,30
문래동,"38,929","107,959",183,241,"40,378","113,830",182,470,"37,282","104,644",182,470
양평1동,"41,056","93,616",201,222,"42,790","98,319",203,147,"41,076","94,150",203,147
양평2동,"15,893","40,275",88,135,"17,215","44,805",86,57,"15,533","40,597",86,57
신길1동,"79,828","112,274",229,50,"78,860","115,089",227,46,"79,101","110,443",227,46
신길3동,"101,823","145,078",306,29,"110,068","152,971",300,26,"95,240","128,288",300,26
신길4동,"98,362","112,431",314,38,"96,704","110,369",299,42,"109,637","123,554",299,42
